Y,X
36.828159,127.158409
36.828286,127.158297
36.828293,127.158479
36.827754,127.158605
36.828695,127.157835
36.828669,127.157991
36.828677,127.159094
36.828342,127.158568
36.82579743,127.154606
36.825183,127.153605
36.833408,127.190555
36.833482,127.190327
36.83372141,127.190197
36.830966,127.1854958
36.830663,127.179417
36.830899,127.178719
36.830905,127.177747
36.830984,127.177552
36.831161,127.174354
36.833168,127.173432
36.83329214,127.173472
36.833336,127.173552
36.833381,127.173396
36.833686,127.173445
36.832991,127.166121
36.831096,127.162891
36.831917,127.151702
36.832045,127.151692
36.83197835,127.1512008
36.83838885,127.151918
36.834933,127.151666
36.838371,127.157142
36.836937,127.155544
36.83820547,127.151778
36.838819,127.151102
36.8446193,127.187551
36.844356,127.186807
36.841402,127.181397
36.840179,127.180072
36.840071,127.179786
36.840856,127.174356
36.840888,127.174534
36.841088,127.174476
36.846489,127.189681
36.779045,127.152081
36.779075,127.151452
36.779219,127.152292
36.776731,127.150082
36.779173,127.149612
36.779021,127.149433
36.777851,127.1497131
36.777731,127.149801
36.784355,127.160353
36.782709,127.159968
36.782588,127.159916
36.784522,127.160248
36.784393,127.160198
36.784697,127.160117
36.784727,127.160021
36.78547847,127.160048
36.785052,127.159882
36.785156,127.159809
36.782689,127.159615
36.783999,127.1602941
36.783865,127.159009
36.784061,127.159041
36.783887,127.158503
36.784101,127.157569
36.784332,127.158231
36.784363,127.1580419
36.784463,127.158143
36.78459828,127.157784
36.78459828,127.157671
36.784853,127.159049
36.784808,127.159166
36.785177,127.158914
36.784484,127.159299
36.784463,127.159424
36.785507,127.159655
36.785534,127.159554
36.785451,127.159531
36.785424,127.159631
36.785076,127.159784
36.785137,127.159908
36.78609811,127.1598966
36.786305,127.160145
36.786536,127.159986
36.786563,127.159882
36.786678,127.1613669
36.787008,127.160073
36.787056,127.159876
36.787216,127.159935
36.787166,127.160123
36.790345,127.159185
36.789622,127.158297
36.789671,127.158431
36.789766,127.1585901
36.789812,127.158176
36.788715,127.158961
36.788568,127.158906
36.788526,127.159087
36.786649,127.158908
36.786675,127.158735
36.786522,127.158884
36.786246,127.159164
36.786268,127.159049
36.786182,127.159017
36.786158,127.159129
36.78547847,127.159403
36.785796,127.159376
36.785826,127.159276
36.785551,127.1591136
36.785595,127.158544
36.785486,127.157888
36.785912,127.157577
36.786029,127.1583208
36.786175,127.157643
36.785506,127.156394
36.785337,127.156317
36.785398,127.156106
36.786014,127.157738
36.78776663,127.157845
36.785285,127.1580419
36.786887,127.157086
36.786937,127.156897
36.786118,127.157441
36.78461028,127.1568031
36.785072,127.157113
36.784948,127.156672
36.789457,127.155394
36.788798,127.155824
36.788971,127.155884
36.789203,127.156136
36.787734,127.150967
36.787756,127.150829
36.787734,127.150693
36.788144,127.152205
36.787168,127.150922
36.784251,127.1520103
36.784434,127.151569
36.784394,127.151911
36.784212,127.1520103
36.784098,127.152103
36.781712,127.1531968
36.782633,127.156199
36.782545,127.156047
36.781917,127.155927
36.781847,127.155798
36.784826,127.154351
36.784886,127.154066
36.784703,127.153933
36.78510289,127.154193
36.784085,127.154462
36.784269,127.154253
36.784113,127.153746
36.783978,127.153681
36.782004,127.154493
36.782071,127.1531968
36.782437,127.153216
36.782799,127.154878
36.782711,127.154741
36.782839,127.1568592
36.782917,127.154744
36.782936,127.153781
36.783035,127.1545702
36.783092,127.153174
36.782899,127.153219
36.78243457,127.152747
36.782934,127.152401
36.783111,127.152538
36.784099,127.152312
36.784496,127.149757
36.784617,127.149578
36.784539,127.149379
36.78460064,127.148792
36.78460064,127.148064
36.784632,127.147861
36.784862,127.1487918
36.785062,127.146504
36.785076,127.1463671
36.784953,127.146453
36.784863,127.1463671
36.784831,127.146447
36.784982,127.146194
36.786678,127.146616
36.783057,127.1463671
36.783502,127.145842
36.787872,127.156307
36.788861,127.155616
36.785227,127.158795
36.785027,127.145904
36.783038,127.164872
36.783164,127.164881
36.783478,127.164784
36.783987,127.164644
36.783075,127.164011
36.783135,127.163937
36.78305752,127.163866
36.783011,127.1638494
36.783001,127.162561
36.783054,127.162481
36.782984,127.162413
36.782933,127.1614094
36.783363,127.162346
36.783448,127.1613669
36.783187,127.161155
36.783237,127.161066
36.783167,127.161002
36.783102,127.161096
36.782866,127.1614094
36.78284452,127.161238
36.782745,127.161179
36.782794,127.161088
36.783519,127.160926
36.783562,127.160812
36.783631,127.160843
36.783597,127.160956
36.783845,127.1608384
36.783925,127.160647
36.783898,127.160749
36.784199,127.160548
36.784143,127.160418
36.784485,127.160406
36.784808,127.161437
36.784853,127.1613669
36.784921,127.161369
36.78528081,127.160869
36.785189,127.160907
36.785901,127.160847
36.785952,127.160683
36.785435,127.160733
36.785459,127.160642
36.785542,127.160668
36.785799,127.160492
36.785826,127.160391
36.785882,127.160507
36.785915,127.160413
36.791833,127.161978
36.802507,127.140443
36.802764,127.142504
36.802693,127.142696
36.803075,127.143388
36.803014,127.143619
36.803168,127.144665
36.801337,127.140204
36.801343,127.142515
36.801456,127.142741
36.801347,127.142864
36.801355,127.144033
36.801231,127.142749
36.804993,127.139506
36.804876,127.135439
36.804926,127.135557
36.804784,127.135539
36.804304,127.135579
36.803882,127.137189
36.80344061,127.137735
36.804455,127.139383
36.803147,127.139077
36.800769,127.135682
36.801132,127.136851
36.801262,127.136893
36.801306,127.137069
36.80139004,127.138719
36.802446,127.139487
36.802298,127.139359
36.801412,127.136927
36.804984,127.134573
36.802525,127.134581
36.801897,127.131553
36.801773,127.131869
36.802612,127.131864
36.802833,127.131587
36.802968,127.131913
36.804507,127.127482
36.804758,127.127908
36.804565,127.129284
36.80155757,127.126403
36.800015,127.126757
36.800019,127.126587
36.803949,127.127443
36.80155757,127.126773
36.803628,127.127463
36.803394,127.127735
36.801833,127.125075
36.801944,127.1264293
36.801805,127.125276
36.801371,127.126925
36.800642,127.129281
36.800168,127.127997
36.800118,127.128329
36.802936,127.129772
36.803181,127.129823
36.803074,127.129927
36.803112,127.129664
36.800454,127.123267
36.800253,127.123399
36.800597,127.123453
36.800563,127.121592
36.800745,127.121505
36.800907,127.121734
36.802068,127.123653
36.801893,127.123779
36.802019,127.123982
36.801236,127.1236632
36.802498,127.121143
36.802442,127.1214194
36.801738,127.122368
36.800942,127.122111
36.80279701,127.121112
36.804866,127.120745
36.804816,127.120908
36.804768,127.120799
36.804239,127.120677
36.804151,127.120576
36.802339,127.122024
36.802291,127.122321
36.802251,127.122545
36.80233118,127.122488
36.80245969,127.121244
36.803535,127.115105
36.804292,127.115615
36.804397,127.115574
36.804391,127.115784
36.801213,127.115332
36.801496,127.115661
36.804566,127.117702
36.804672,127.117941
36.804144,127.1190378
36.804496,127.1190378
36.804366,127.118907
36.803454,127.118976
36.802991,127.118879
36.802788,127.118963
36.802702,127.119649
36.802796,127.1191554
36.802666,127.119922
36.802453,127.1190378
36.802376,127.118753
36.800017,127.118227
36.80456188,127.111111
36.803937,127.111048
36.803752,127.111958
36.803779,127.1108043
